subestacion,provincia,municipio,nombre_del_gestor,utm_x,utm_y,distancia_a2_km,pk_centro_tramo_a2,capacidad_disponible_mw,nivel_de_tension_kv
ECOGARRAF,Barcelona,Gavà,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,914009.11,4583184.62,11.417711304940378,605.6,0.0,66
EGARA,Barcelona,Terrassa,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,917426.82,4615415.87,11.552219532033114,583.3,0.0,110
JUNEDA,Lleida,Juneda,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,819392.79,4604738.99,11.681638707558134,480.7,0.0,25
STR ALARILLA,Guadalajara,Alarilla,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",490452.49,4520317.58,11.788083296245023,77.95,0.0,66
STR YUNQUERA HENARES,Guadalajara,Yunquera de Henares,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",484856.5,4514200.32,11.788737566372562,66.75,0.0,66
M.FIGUERES,Barcelona,Terrassa,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,920998.66,4612702.12,11.79363433033873,589.6,0.0,110
MIRADOR DEL SUR,Madrid,Rivas-Vaciamadrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",456428.97,4465648.47,11.915869720357266,15.8,0.0,132
ST VILLAVERDE PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",443208.9,4466116.48,11.926694347771909,8.0,0.0,132
LA_JOYOSA,Zaragoza,"Joyosa, La",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,661819.18,4622149.55,12.014336880033817,315.7875,0.0,45
CANBARBA,Barcelona,Terrassa,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,921713.55,4612535.45,12.059656552323595,589.6,0.0,110
ST PARQUE INGENIEROS,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",440357.59,4466870.49,12.076510961935524,8.0,0.0,15
SMR MAQUEDA,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",435382.7,4470999.48,12.127223659738156,8.0,0.0,45
FUENTES,Zaragoza,Fuentes de Ebro,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,697248.55,4598136.15,12.232063218949511,339.65,0.0,45
COG. VALDEMINGOMEZ,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",450641.08,4465390.75,12.458423830395631,12.45,0.0,45
BALAGUER,Lleida,Térmens,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,815425.72,4629273.09,12.675438181693368,473.9,0.0,110
ST POLIGONO C,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",435273.92,4470128.75,12.725700682991189,8.0,0.0,45
LAFORTESA,Barcelona,Calonge de Segarra,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,876373.82,4630713.12,12.758734774450494,541.6500000000001,0.0,110
TERRASSA,Barcelona,Terrassa,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,918687.64,4615782.3,12.763405661510738,583.3,0.0,110
CERDANYOLA,Barcelona,Cerdanyola del Vallès,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,927129.66,4607255.9,12.767408830445348,597.2,0.0,110
S.MARTI,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,934513.04,4599242.83,12.906374126716498,609.895,9.71,66
ST AGUACATE,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",436455.45,4468530.69,12.909596182066831,8.0,0.0,15
SMR SAN EUSTAQUIO,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",440415.27,4465615.49,13.2058112510724,8.0,0.0,45
STR CTRA.TOLEDO,Madrid,Leganés,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",438517.27,4466276.5,13.459165461249812,8.0,0.0,45
ST ARAVACA,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",431647.77,4479639.11,13.859486595419384,8.0,7.49,20
STR PIQUENAS,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",434929.41,4468693.44,13.901521259788392,8.0,0.0,45
S.LLOGAIA,Girona,Santa Llogaia d'Àlguema,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,990805.67,4692506.65,13.943934865314255,732.95,0.0,132
PI_FUENTES,Zaragoza,Fuentes de Ebro,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,699979.06,4597767.94,13.945181632631904,339.65,0.0,45
S.ANDREU,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,933567.06,4601337.95,14.032293753252693,609.895,0.0,110
STR VENTEROS,Madrid,San Sebastián de los Reyes,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",451340.76,4491932.44,14.090261389466823,12.45,0.0,66
TRINITAT,Barcelona,Barcelona,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,933512.83,4601557.55,14.190176692792537,609.895,0.0,25
BESOS,Barcelona,Sant Adrià de Besòs,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,936975.97,4598590.83,14.205545407711165,609.895,41.28,110
ST RETAMAR,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",438590.17,4465177.29,14.38052894195415,8.0,5.42,45
VILAMALLA,Girona,Vilamalla,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,994538.87,4691642.03,14.409683346700865,732.95,0.0,132
LA POVEDA,Madrid,Arganda del Rey,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",459120.86,4463551.45,14.55742325836427,15.8,0.0,45
STR EL CARRASCAL,Madrid,Leganés,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",437224.95,4465767.34,14.58177673381659,8.0,0.0,45
ILLUECA,Zaragoza,Illueca,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,615262.18,4598672.05,14.598266343946266,264.9,0.0,45
PLASENCIA,Zaragoza,Plasencia de Jalón,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,646889.32,4616713.52,14.87637050842601,292.5555,0.0,45
BARBERA,Barcelona,Barberà del Vallès,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,929199.06,4608113.1,14.93466348744681,597.2,0.0,110
