provincia,municipio,utm_x,utm_y,subestacion,nivel_tension_kv,capacidad_disponible_mw,denominacion_punto,identificador_punto
Madrid,Tres Cantos,440328.143811427,4496480.25990161,3570,20,"17,22",T.CANTOS T3 ,0528089272
Madrid,Tres Cantos,440328.143811427,4496480.25990161,3570,20,"17,22",T.CANTOS T4 ,0528089273
Madrid,Tres Cantos,440328.143811427,4496480.25990161,3570,20,"22,4",T.CANTOS T7 ,0528088834
Madrid,Tres Cantos,440328.143811427,4496480.25990161,3570,20,"25,71",T.CANTOS T8 ,0528088835
Madrid,Tres Cantos,440328.143811427,4496480.25990161,3570,66,"17,22",TCANTOS A1   66.000,0048048001
Madrid,Tres Cantos,440328.143811427,4496480.25990161,3570,66,"3,57",TCANTOS B1   66.000,0048048002
Madrid,Majadahonda,424214.194616643,4482283.58355562,3356,20,"3,26",V.ARCIPR T1 ,0528066908
Madrid,Majadahonda,424214.194616643,4482283.58355562,3356,20,"12,41",V.ARCIPR T2 ,0528066910
Madrid,Madrid,435424.976548022,4472523.60980053,3313,20,"34,93",VENTAS.M T1 ,0528088403
Madrid,Madrid,435424.976548022,4472523.60980053,3313,20,"34,84",VENTAS.M T2 ,0528088404
Madrid,Madrid,435424.976548022,4472523.60980053,3313,15,"30,54",VENTAS.M T3 ,0528088692
Madrid,Madrid,435424.976548022,4472523.60980053,3313,15,"30,5",VENTAS.M T4 ,0528088693
Madrid,Madrid,443208.895016681,4466116.47934431,3314,132,"98,01",VILLAVDE    132.00,0021004222
Madrid,Madrid,443208.895016681,4466116.47934431,3314,45,"73,42",VILLAVERDE A1  45.000,0021049030
Madrid,Villaviciosa de Odón,423277.946613676,4466937.82085303,3169,15,0,VILLAVIC T1 ,0528475337
Madrid,Villaviciosa de Odón,423277.946613676,4466937.82085303,3169,15,0,VILLAVIC T2 ,0528466274
Madrid,Móstoles,425561.758160703,4462164.14146695,4905,45,"14,64",PIARROYO T1 ,0528066851
Madrid,Móstoles,425561.758160703,4462164.14146695,4905,15,0,PIARROYO T1 ,0528066852
Madrid,Móstoles,425561.758160703,4462164.14146695,4905,45,"14,52",PIARROYO T2 ,0528066853
Madrid,Móstoles,425561.758160703,4462164.14146695,4905,15,"13,61",PIARROYO T2,0528066854
Madrid,Tres Cantos,441197.5663804,4496029.89952419,4145,66,0,BBVA        66.000,0048048003
Madrid,Madrid,436639.489686202,4470529.61970909,5310,45,0,B.AIRE.M T1 ,0528150356
Madrid,Madrid,436639.489686202,4470529.61970909,5310,15,0,B.AIRE.M T1 ,0528088408
Madrid,Madrid,436639.489686202,4470529.61970909,5310,15,0,B.AIRE.M T2 ,0528088409
Madrid,Madrid,436639.489686202,4470529.61970909,5310,45,"28,14",B.AIRE.M T2 ,0528150357
Madrid,Getafe,441111.883467871,4461739.9821035,4918,45,0,CEANGELE T1 ,0528066740
Madrid,Getafe,441111.883467871,4461739.9821035,4918,15,0,CEANGELE T1 ,0528066741
Madrid,Getafe,436416.95837943,4461940.71113823,4916,15,0,CEBUENAV T1 ,0528066743
Madrid,Getafe,436416.95837943,4461940.71113823,4916,15,0,CEBUENAV T2 ,0528066745
Madrid,Getafe,436814.153434921,4462570.44144958,4912,45,"20,38",CESTUDIA T1 ,0528066750
Madrid,Getafe,436814.153434921,4462570.44144958,4912,15,"2,85",CESTUDIA T1 ,0528066751
Madrid,Getafe,436814.153434921,4462570.44144958,4912,45,"27,86",CESTUDIA T2 ,0528066752
Madrid,Getafe,436814.153434921,4462570.44144958,4912,15,7,CESTUDIA T2 ,0528066753
Madrid,Leganés,438517.274419228,4466276.49728898,4910,45,"19,92",CATOLEDO T1 ,0528066736
Madrid,Leganés,438517.274419228,4466276.49728898,4910,15,"5,41",CATOLEDO T1 ,0528066737
Madrid,Leganés,438517.274419228,4466276.49728898,4910,45,"23,64",CATOLEDO T2 ,0528066738
Madrid,Leganés,438517.274419228,4466276.49728898,4910,15,"3,9",CATOLEDO T2 ,0528066739
Madrid,Leganés,437224.948117092,4465767.33863618,4882,45,"24,44",CARRASCA T1 ,0528066732
Madrid,Leganés,437224.948117092,4465767.33863618,4882,15,"3,46",CARRASCA T1 ,0528066733
Madrid,Leganés,437224.948117092,4465767.33863618,4882,45,"28,14",CARRASCA T2 ,0528066734
Madrid,Leganés,437224.948117092,4465767.33863618,4882,15,7,CARRASCA T2 ,0528066735
Madrid,Getafe,440170.736615138,4458447.06185283,5109,45,"20,18",JUNCAL T1   ,0528066793
Madrid,Getafe,440170.736615138,4458447.06185283,5109,15,"9,39",JUNCAL T1   ,0528066794
Madrid,Getafe,440170.736615138,4458447.06185283,5109,45,"1,97",JUNCAL T2   ,0528066795
Madrid,Getafe,440170.736615138,4458447.06185283,5109,15,"1,97",JUNCAL T2   ,0528066796
Madrid,Fuenlabrada,428584.343113055,4460355.25550722,5111,45,"19,6",ELMAZO T1   ,0528066756
Madrid,Fuenlabrada,428584.343113055,4460355.25550722,5111,15,7,ELMAZO T1   ,0528066757
Madrid,Fuenlabrada,428584.343113055,4460355.25550722,5111,45,0,ELMAZO T2   ,0528066758
Madrid,Fuenlabrada,428584.343113055,4460355.25550722,5111,15,0,ELMAZO T2   ,0528066759
Madrid,Madrid,440367.427818842,4472786.2758545,4035,15,14,EMBAJADO T2 ,0528088923
Madrid,Madrid,440367.427818842,4472786.2758545,4035,45,"38,93",EMBAJADO T2 ,0528150369
Madrid,Madrid,440367.427818842,4472786.2758545,4035,15,14,EMBAJADO T3 ,0528090283
Madrid,Parla,435198.6335686,4453914.10751895,4925,45,"1,01",FELIPE2 T1  ,0528066768
