OBJECTID,Gestor de red,Nombre del gestor,Provincia,Municipio,Coordenada X,Coordenada Y,Subestación,Nivel de tensión (kV),Capacidad disponible (MW),Nudo reservado,Capacidad ocupada (MW),Capacidad admitida y no evaluada (MW),Nudo 0*,x,y
2789,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Lumbier,637403.73,4721380.52,STR LUMBIER (MANIO,66,0,No,0,0,1,637403.73,4721380.52
2790,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Pamplona/Iruña,611453.02,4741434.75,STR MAGDALENA,13,0,No,8.02,0,0,611453.02,4741434.75
2791,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Pamplona/Iruña,611453.02,4741434.75,STR MAGDALENA,66,0,No,0,0,1,611453.02,4741434.75
2792,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Pamplona/Iruña,611453.02,4741434.75,STR MAGDALENA,13,0,No,9.9,0,0,611453.02,4741434.75
2793,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Pamplona/Iruña,611453.02,4741434.75,STR MAGDALENA,66,0,No,0,0,1,611453.02,4741434.75
2794,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Pamplona/Iruña,611453.02,4741434.75,STR MAGDALENA,13,0,No,9.98,0,0,611453.02,4741434.75
2795,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Pamplona/Iruña,611453.02,4741434.75,STR MAGDALENA,66,0,No,0,0,1,611453.02,4741434.75
2796,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Marcilla,605108.24,4687516.66,STR MARCILLA,66,0,No,0,0,1,605108.24,4687516.66
2797,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Marcilla,605108.24,4687516.66,STR MARCILLA,13,0,No,5.6,0,0,605108.24,4687516.66
2798,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Marcilla,605108.24,4687516.66,STR MARCILLA,66,0,No,0,0,1,605108.24,4687516.66
2799,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Mendigorria,595429.1,4719834.47,STR MENDIGORRIA,13,0,No,1,0,0,595429.1,4719834.47
2800,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Mendigorria,595429.1,4719834.47,STR MENDIGORRIA,66,0,No,0,0,1,595429.1,4719834.47
2801,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Mendigorria,595429.1,4719834.47,STR MENDIGORRIA,13,0,No,2.09,0,0,595429.1,4719834.47
2802,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Mendigorria,595429.1,4719834.47,STR MENDIGORRIA,66,0,No,0,0,1,595429.1,4719834.47
2803,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Milagro,600331.39,4678398.57,STR MILAGRO,13,0,No,9.23,0,0,600331.39,4678398.57
